onset	duration	trial_type	melody_number	melody_part	key	sound	action
0.0	14.083	CUE_START	n/a	n/a	n/a	n/a	n/a
14.083	7.76	FIXCROSS	n/a	n/a	n/a	n/a	n/a
21.843	6.316	CUE_LISTEN	M4	1	n/a	n/a	n/a
28.158	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
35.916	6.325	CUE_PLAYBACK_BOTH_HANDS	M4	1	n/a	n/a	n/a
42.07	n/a	RESPONSE	M4	1	04	E3	press
42.129	n/a	RESPONSE	M4	1	17	F4	press
42.241	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
42.762	n/a	RESPONSE	M4	1	17	F4	release
48.015	n/a	RESPONSE	M4	1	04	E3	release
50.0	6.317	CUE_LISTEN	M4	2	n/a	n/a	n/a
56.316	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
64.075	6.325	CUE_PLAYBACK_BOTH_HANDS	M4	2	n/a	n/a	n/a
65.794	n/a	RESPONSE	M4	2	09	A3	press
65.805	n/a	RESPONSE	M4	2	19	G4	press
65.917	n/a	RESPONSE	M4	2	05	F3	press
66.29	n/a	RESPONSE	M4	2	23	B4	press
66.699	n/a	RESPONSE	M4	2	19	G4	release
66.79	n/a	RESPONSE	M4	2	21	A4	press
67.332	n/a	RESPONSE	M4	2	19	G4	press
68.305	n/a	RESPONSE	M4	2	17	F4	press
68.765	n/a	RESPONSE	M4	2	23	B4	release
68.843	n/a	RESPONSE	M4	2	21	A4	release
70.4	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
71.543	n/a	RESPONSE	M4	2	19	G4	release
71.664	n/a	RESPONSE	M4	2	05	F3	release
71.765	n/a	RESPONSE	M4	2	17	F4	release
71.768	n/a	RESPONSE	M4	2	09	A3	release
78.158	6.317	CUE_LISTEN	M1	1	n/a	n/a	n/a
84.475	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
