onset	duration	trial_type
0.009	10.008	FIXCROSS
10.017	2.008	CUE_LEFT
12.034	12.001	LEFT
24.051	10.008	FIXCROSS
34.059	2.008	CUE_RIGHT
36.076	12.001	RIGHT
48.092	10.0	FIXCROSS
58.092	2.017	CUE_LEFT
60.117	12.001	LEFT
72.134	15.0	FIXCROSS
87.134	2.017	CUE_RIGHT
89.159	12.001	RIGHT
101.176	15.0	FIXCROSS
116.176	2.017	CUE_LEFT
118.201	12.001	LEFT
130.218	12.5	FIXCROSS
142.718	2.016	CUE_RIGHT
144.743	12.001	RIGHT
156.759	12.5	FIXCROSS
169.259	2.016	CUE_LEFT
171.284	12.001	LEFT
183.301	15.0	FIXCROSS
198.301	2.017	CUE_RIGHT
200.326	12.001	RIGHT
212.343	15.008	FIXCROSS
227.351	2.008	CUE_LEFT
229.368	12.001	LEFT
241.384	10.0	FIXCROSS
251.384	2.017	CUE_RIGHT
253.41	12.001	RIGHT
265.426	10.0	FIXCROSS
275.426	2.017	CUE_LEFT
277.451	12.001	LEFT
289.468	12.5	FIXCROSS
301.968	2.016	CUE_RIGHT
303.993	12.001	RIGHT
316.01	12.5	FIXCROSS
328.51	31.93	FINISHED
